epoch,total time,train loss,lr,val loss
0,0,0.6987860128283501,0.001,0.6944136619567871
1,0,0.6445547193288803,0.001,0.7392235696315765
2,0,0.5777974277734756,0.001,0.7275760769844055
3,0,0.5629964470863342,0.001,0.8413603603839874
4,0,0.5648642033338547,0.001,0.688328355550766
5,0,0.48808683082461357,0.001,0.5433980524539948
6,0,0.5337039344012737,0.001,0.521996259689331
7,0,0.5016981922090054,0.001,0.5518609583377838
8,0,0.48992711305618286,0.001,0.5348764955997467
9,0,0.47154271975159645,0.001,0.5055838823318481
10,0,0.5102474205195904,0.001,0.4561697393655777
11,0,0.4818447455763817,0.001,0.4587288647890091
12,0,0.49659832939505577,0.001,0.40477703511714935
13,0,0.48176174238324165,0.001,0.35815608501434326
14,0,0.47873690724372864,0.001,0.3612818121910095
15,0,0.4204462915658951,0.001,0.37233251333236694
16,0,0.4360554777085781,0.001,0.3815853148698807
17,0,0.3908131718635559,0.001,0.42038634419441223
18,0,0.4168345257639885,0.001,0.5099866390228271
19,0,0.43503713607788086,0.001,0.3313364237546921
20,0,0.35901229456067085,0.001,0.46084997057914734
21,0,0.42188144102692604,0.001,0.416994571685791
22,0,0.3852235972881317,0.001,0.3415669649839401
23,0,0.4219077564775944,0.001,0.3401353806257248
24,0,0.4522554837167263,0.001,0.35915273427963257
25,0,0.3749176040291786,0.001,0.4336659759283066
26,0,0.38616926223039627,0.001,0.4055632948875427
27,0,0.43283122405409813,0.001,0.47441332042217255
28,0,0.40111683309078217,0.001,0.3866914212703705
29,0,0.3946603536605835,0.001,0.3098427802324295
30,0,0.383785642683506,0.001,0.40897218883037567
31,0,0.3642626367509365,0.001,0.3643192797899246
32,0,0.3938702158629894,0.001,0.3551718443632126
33,0,0.3846748247742653,0.001,0.4687911570072174
34,0,0.36544207111001015,0.001,0.34120820462703705
35,0,0.39734402671456337,0.001,0.4726135581731796
36,0,0.3994058482348919,0.001,0.3817356377840042
37,0,0.3655046373605728,0.001,0.34517550468444824
38,0,0.35605117678642273,0.001,0.4180651009082794
39,0,0.38463637232780457,0.001,0.3211749345064163
40,0,0.4316251538693905,0.001,0.3020610064268112
41,0,0.3785872608423233,0.001,0.39527611434459686
42,0,0.37327741086483,0.001,0.3902033716440201
43,0,0.36109959706664085,0.001,0.3213082402944565
44,0,0.41628487408161163,0.001,0.35727597773075104
45,0,0.4038470797240734,0.001,0.37312425673007965
46,0,0.3737042099237442,0.001,0.38630422949790955
47,0,0.40008338168263435,0.001,0.35674092173576355
48,0,0.3520556464791298,0.001,0.4297531545162201
49,0,0.3913182057440281,0.001,0.3357268273830414
50,0,0.3679068870842457,0.001,0.34189021587371826
51,0,0.3722630403935909,0.001,0.30907683074474335
52,0,0.3903224803507328,0.00015,0.2588069811463356
53,0,0.3965207077562809,0.00015,0.30237816274166107
54,0,0.376067191362381,0.00015,0.36895453929901123
55,0,0.3668253943324089,0.00015,0.3295810669660568
56,0,0.4092278890311718,0.00015,0.3571327179670334
