epoch,total time,train loss,lr,val loss
0,0,0.8042566180229187,0.001,0.6907003819942474
1,0,0.5841489136219025,0.001,0.6787471771240234
2,0,0.5254693292081356,0.001,0.5384685844182968
3,0,0.5103175453841686,0.001,0.44077396392822266
4,0,0.44464991986751556,0.001,0.3737711161375046
5,0,0.4718543440103531,0.001,0.3775395601987839
6,0,0.3936425931751728,0.001,0.37276558578014374
7,0,0.42787423729896545,0.001,0.41265514492988586
8,0,0.4433854892849922,0.001,0.47812820971012115
9,0,0.38311542570590973,0.001,0.3965235501527786
10,0,0.4276261553168297,0.001,0.35148386657238007
11,0,0.4234244003891945,0.001,0.40762393176555634
12,0,0.4055853821337223,0.001,0.4055265933275223
13,0,0.39425942674279213,0.001,0.353705570101738
14,0,0.395989254117012,0.001,0.4208170026540756
15,0,0.42633937671780586,0.001,0.4019263982772827
16,0,0.37974996864795685,0.001,0.37678077816963196
17,0,0.34674404561519623,0.001,0.3157922327518463
18,0,0.3897121772170067,0.001,0.3219481557607651
19,0,0.44309695810079575,0.001,0.363562747836113
20,0,0.39918573573231697,0.001,0.3342774510383606
21,0,0.35083453729748726,0.001,0.37003661692142487
22,0,0.4104350246489048,0.001,0.364271804690361
23,0,0.3597269095480442,0.001,0.355262815952301
24,0,0.39824631065130234,0.001,0.41199105978012085
25,0,0.4057687185704708,0.001,0.36402806639671326
26,0,0.3943682983517647,0.001,0.3485678434371948
27,0,0.3572291173040867,0.001,0.34436503052711487
28,0,0.3724857307970524,0.001,0.2830151319503784
29,0,0.4131974056363106,0.001,0.27662794291973114
30,0,0.3909783326089382,0.001,0.37898194789886475
31,0,0.3961015045642853,0.001,0.32794830203056335
32,0,0.3649168983101845,0.001,0.3458193838596344
33,0,0.3789173848927021,0.001,0.28349341452121735
34,0,0.3508022055029869,0.001,0.2753758728504181
35,0,0.3725001085549593,0.001,0.32108624279499054
36,0,0.38161255419254303,0.001,0.33567845821380615
37,0,0.4044768922030926,0.001,0.34512118995189667
38,0,0.35188888013362885,0.001,0.35576218366622925
39,0,0.37606265395879745,0.001,0.36541542410850525
40,0,0.4021298699080944,0.001,0.30439528822898865
41,0,0.3869860917329788,0.001,0.3895062357187271
42,0,0.36478304117918015,0.001,0.3727010190486908
43,0,0.3958398774266243,0.001,0.37571682035923004
44,0,0.41603318601846695,0.001,0.3584175556898117
45,0,0.391744464635849,0.001,0.3390238583087921
46,0,0.3923397362232208,0.00015,0.33640891313552856
47,0,0.4076096937060356,0.00015,0.3328576236963272
48,0,0.3723234310746193,0.00015,0.3391891270875931
49,0,0.36455580219626427,0.00015,0.3535197675228119
50,0,0.3595320098102093,0.00015,0.3060876876115799
51,0,0.34471573680639267,0.00015,0.2846181094646454
52,0,0.3743053115904331,0.00015,0.35564544796943665
53,0,0.36539725586771965,0.00015,0.307577520608902
54,0,0.3662491403520107,0.00015,0.33282023668289185
55,0,0.3613573685288429,0.00015,0.35957497358322144
56,0,0.3306144289672375,0.00015,0.3078050762414932
57,0,0.38770512491464615,2.2499999999999998e-05,0.36857593059539795
58,0,0.3524337112903595,2.2499999999999998e-05,0.322929710149765
59,0,0.3666582219302654,2.2499999999999998e-05,0.31266950070858
60,0,0.3694908060133457,2.2499999999999998e-05,0.3634621351957321
61,0,0.3367295265197754,2.2499999999999998e-05,0.33019502460956573
62,0,0.3338361009955406,2.2499999999999998e-05,0.32020509243011475
63,0,0.32594574987888336,2.2499999999999998e-05,0.29843534529209137
64,0,0.3237672783434391,2.2499999999999998e-05,0.3385569155216217
65,0,0.36351489648222923,2.2499999999999998e-05,0.3006356507539749
66,0,0.39020490646362305,2.2499999999999998e-05,0.30857619643211365
67,0,0.3715481236577034,2.2499999999999998e-05,0.3322209417819977
68,0,0.34350553900003433,3.3749999999999995e-06,0.3681095987558365
69,0,0.33936682716012,3.3749999999999995e-06,0.31173838675022125
70,0,0.3624795787036419,3.3749999999999995e-06,0.30230093002319336
71,0,0.3880530148744583,3.3749999999999995e-06,0.28060540556907654
72,0,0.3589888736605644,3.3749999999999995e-06,0.305587574839592
73,0,0.39686261117458344,3.3749999999999995e-06,0.3679889887571335
74,0,0.32760341465473175,3.3749999999999995e-06,0.29375752806663513
75,0,0.36653630807995796,3.3749999999999995e-06,0.3640378564596176
76,0,0.352978752925992,3.3749999999999995e-06,0.3833576440811157
77,0,0.3819015696644783,3.3749999999999995e-06,0.34329724311828613
78,0,0.3934291787445545,3.3749999999999995e-06,0.2936019003391266
79,0,0.34627219662070274,5.062499999999999e-07,0.3348187804222107
80,0,0.38157590106129646,5.062499999999999e-07,0.3296990245580673
81,0,0.3328903540968895,5.062499999999999e-07,0.2711747959256172
82,0,0.36049937456846237,5.062499999999999e-07,0.334087610244751
83,0,0.39703483507037163,5.062499999999999e-07,0.3063759207725525
84,0,0.3426573649048805,5.062499999999999e-07,0.28348299860954285
85,0,0.35003961250185966,5.062499999999999e-07,0.3330358564853668
86,0,0.3372254800051451,5.062499999999999e-07,0.32240916788578033
87,0,0.36071618273854256,5.062499999999999e-07,0.3461144417524338
88,0,0.3831080459058285,5.062499999999999e-07,0.3010862171649933
89,0,0.34117837995290756,5.062499999999999e-07,0.2904536724090576
90,0,0.3251817151904106,5.062499999999999e-07,0.28565390408039093
91,0,0.3814929537475109,5.062499999999999e-07,0.3314332813024521
92,0,0.3724170867353678,5.062499999999999e-07,0.31120777130126953
93,0,0.328367006033659,7.593749999999999e-08,0.3044149577617645
94,0,0.4028281420469284,7.593749999999999e-08,0.30991867184638977
95,0,0.3481484204530716,7.593749999999999e-08,0.34682588279247284
96,0,0.35165389999747276,7.593749999999999e-08,0.3158101290464401
97,0,0.34755654633045197,7.593749999999999e-08,0.3416777700185776
98,0,0.3660239949822426,7.593749999999999e-08,0.3943949043750763
99,0,0.3814954608678818,7.593749999999999e-08,0.30916839838027954
100,0,0.3533677011728287,7.593749999999999e-08,0.33879998326301575
101,0,0.33408551663160324,7.593749999999999e-08,0.3010590374469757
102,0,0.3644598014652729,7.593749999999999e-08,0.3469490110874176
103,0,0.3777851015329361,7.593749999999999e-08,0.37050187587738037
104,0,0.3720441609621048,1.1390624999999997e-08,0.3684316575527191
105,0,0.3555102273821831,1.1390624999999997e-08,0.35586296021938324
106,0,0.33374209329485893,1.1390624999999997e-08,0.2965534180402756
107,0,0.3858491964638233,1.1390624999999997e-08,0.293571874499321
108,0,0.37486130371689796,1.1390624999999997e-08,0.29977835714817047
109,0,0.34147176891565323,1.1390624999999997e-08,0.31315837800502777
110,0,0.37264497205615044,1.1390624999999997e-08,0.3036632239818573
111,0,0.3674448039382696,1.1390624999999997e-08,0.35629889369010925
112,0,0.3135550729930401,1.1390624999999997e-08,0.3022877424955368
113,0,0.38438207283616066,1.1390624999999997e-08,0.2937365025281906
114,0,0.35708746314048767,1.1390624999999997e-08,0.3340911865234375
115,0,0.3623506799340248,1.1390624999999997e-08,0.288223996758461
116,0,0.39393150806427,1.1390624999999997e-08,0.31281231343746185
117,0,0.3722136802971363,1.1390624999999997e-08,0.3337762653827667
118,0,0.3838866613805294,1.1390624999999997e-08,0.3042330890893936
119,0,0.35062142089009285,1.1390624999999997e-08,0.316047728061676
120,0,0.34842683374881744,1.1390624999999997e-08,0.3163381963968277
121,0,0.3448485769331455,1.1390624999999997e-08,0.34585706889629364
122,0,0.35673537105321884,1.1390624999999997e-08,0.36088189482688904
123,0,0.34752435237169266,1.1390624999999997e-08,0.3218260556459427
124,0,0.37515002489089966,1.1390624999999997e-08,0.33331213891506195
125,0,0.3700439855456352,1.1390624999999997e-08,0.337119922041893
126,0,0.3285800740122795,1.1390624999999997e-08,0.38954345881938934
127,0,0.314394012093544,1.1390624999999997e-08,0.31431134045124054
128,0,0.36445971950888634,1.1390624999999997e-08,0.31673775613307953
129,0,0.38876843824982643,1.1390624999999997e-08,0.3148637115955353
130,0,0.3878600187599659,1.1390624999999997e-08,0.31096725165843964
131,0,0.3251667656004429,1.1390624999999997e-08,0.33754995465278625
132,0,0.36303887888789177,1.1390624999999997e-08,0.2794562727212906
133,0,0.3893066719174385,1.1390624999999997e-08,0.3666498064994812
134,0,0.3562591001391411,1.1390624999999997e-08,0.3368360549211502
135,0,0.3676166292279959,1.1390624999999997e-08,0.3517797887325287
136,0,0.4077942296862602,1.1390624999999997e-08,0.3115193396806717
137,0,0.354970570653677,1.1390624999999997e-08,0.3221835345029831
138,0,0.37085074558854103,1.1390624999999997e-08,0.2923005744814873
139,0,0.3418518379330635,1.1390624999999997e-08,0.294481560587883
140,0,0.3673561289906502,1.1390624999999997e-08,0.3407159745693207
141,0,0.39893410354852676,1.1390624999999997e-08,0.33448587357997894
142,0,0.38287268951535225,1.1390624999999997e-08,0.31109553575515747
143,0,0.336014237254858,1.1390624999999997e-08,0.30340273678302765
144,0,0.3651250749826431,1.1390624999999997e-08,0.31925761699676514
145,0,0.3704344928264618,1.1390624999999997e-08,0.35404081642627716
146,0,0.36782365664839745,1.1390624999999997e-08,0.30815882980823517
147,0,0.3113785907626152,1.1390624999999997e-08,0.31968577206134796
148,0,0.3265401069074869,1.1390624999999997e-08,0.3281182646751404
149,0,0.4034329354763031,1.1390624999999997e-08,0.34512853622436523
150,0,0.38618385046720505,1.1390624999999997e-08,0.27912671864032745
151,0,0.34699560701847076,1.1390624999999997e-08,0.3151130974292755
152,0,0.387748833745718,1.1390624999999997e-08,0.35305342078208923
153,0,0.3704118989408016,1.1390624999999997e-08,0.31068822741508484
154,0,0.35333024337887764,1.1390624999999997e-08,0.3116145581007004
155,0,0.37059343978762627,1.1390624999999997e-08,0.3483264297246933
156,0,0.38056643307209015,1.1390624999999997e-08,0.3703690469264984
157,0,0.3621152602136135,1.1390624999999997e-08,0.3342563360929489
158,0,0.3359778821468353,1.1390624999999997e-08,0.2726326063275337
159,0,0.3869001790881157,1.1390624999999997e-08,0.2948518246412277
