epoch,total time,train loss,lr,val loss
0,0,0.6673228517174721,0.001,0.6878083646297455
1,0,0.5757109634578228,0.001,0.6542021930217743
2,0,0.48152993619441986,0.001,0.6355650126934052
3,0,0.4867149293422699,0.001,0.4484981894493103
4,0,0.4098634496331215,0.001,0.5998893082141876
5,0,0.43454594537615776,0.001,0.5369925647974014
6,0,0.3859170489013195,0.001,0.6013749837875366
7,0,0.44994308054447174,0.001,0.6275920569896698
8,0,0.44508057460188866,0.001,0.39383837580680847
9,0,0.3971656747162342,0.001,0.39854696393013
10,0,0.40475185215473175,0.001,0.3706851452589035
11,0,0.36703982576727867,0.001,0.35346487164497375
12,0,0.4155256226658821,0.001,0.4567171484231949
13,0,0.39090465754270554,0.001,0.4639253616333008
14,0,0.35708673670887947,0.001,0.45279182493686676
15,0,0.3399416208267212,0.001,0.4493638128042221
16,0,0.3868046700954437,0.001,0.540553092956543
17,0,0.38049330562353134,0.001,0.4181613624095917
18,0,0.4375061132013798,0.001,0.3861394673585892
19,0,0.3637504391372204,0.001,0.36372584104537964
20,0,0.3603092133998871,0.001,0.3999231308698654
21,0,0.36463725566864014,0.001,0.32499565184116364
22,0,0.43293479830026627,0.001,0.3988621085882187
23,0,0.3850776366889477,0.001,0.3541388064622879
24,0,0.4004577733576298,0.001,0.3456510603427887
25,0,0.4028371423482895,0.001,0.35229426622390747
26,0,0.39077168330550194,0.001,0.469325914978981
27,0,0.39755593053996563,0.001,0.36604706943035126
28,0,0.38466356694698334,0.001,0.3421618640422821
29,0,0.3275807574391365,0.001,0.3827448785305023
30,0,0.36880800873041153,0.001,0.311761811375618
31,0,0.38616200163960457,0.001,0.3442215323448181
32,0,0.3516080938279629,0.001,0.35083310306072235
33,0,0.3664262294769287,0.001,0.35881568491458893
34,0,0.3893876485526562,0.001,0.3605496436357498
35,0,0.363785270601511,0.001,0.3159359246492386
36,0,0.36037228628993034,0.001,0.33850255608558655
37,0,0.3882277347147465,0.001,0.33419205248355865
38,0,0.3567505516111851,0.001,0.3956035226583481
39,0,0.38263607025146484,0.001,0.32830508053302765
40,0,0.38389933854341507,0.001,0.3513868451118469
41,0,0.3519728370010853,0.001,0.3124850243330002
42,0,0.35266004130244255,0.00015,0.40542930364608765
43,0,0.3576892353594303,0.00015,0.2985394224524498
44,0,0.36791644617915154,0.00015,0.36535221338272095
45,0,0.3517414256930351,0.00015,0.501880869269371
46,0,0.3670552149415016,0.00015,0.4031148701906204
47,0,0.3313055448234081,0.00015,0.4875461757183075
48,0,0.34873558953404427,0.00015,0.3498898893594742
49,0,0.349982101470232,0.00015,0.38173165917396545
50,0,0.33913349360227585,0.00015,0.31216852366924286
51,0,0.3547840155661106,0.00015,0.29534029960632324
52,0,0.3371889553964138,0.00015,0.3656247854232788
53,0,0.33761770837008953,0.00015,0.39261406660079956
54,0,0.38438287004828453,0.00015,0.4129737615585327
55,0,0.3173106387257576,0.00015,0.33319368958473206
56,0,0.3233466371893883,0.00015,0.32562124729156494
57,0,0.3478577956557274,0.00015,0.33352091908454895
58,0,0.3571597319096327,0.00015,0.4268971085548401
59,0,0.33832012116909027,0.00015,0.3560863733291626
60,0,0.3372807838022709,0.00015,0.34411241114139557
61,0,0.3915448896586895,0.00015,0.31693407893180847
62,0,0.3538930118083954,0.00015,0.3309539407491684
63,0,0.34337421879172325,2.2499999999999998e-05,0.3795858919620514
64,0,0.31412090733647346,2.2499999999999998e-05,0.3114423304796219
65,0,0.350229911506176,2.2499999999999998e-05,0.3562932014465332
66,0,0.3288966976106167,2.2499999999999998e-05,0.2997753918170929
67,0,0.3391308765858412,2.2499999999999998e-05,0.3700048476457596
68,0,0.34994158893823624,2.2499999999999998e-05,0.3782927095890045
